"","DOIs","is_oa","oa_status"
"67","10.1002/psc.3006",FALSE,"closed"
"68","10.1111/psyp.13380",FALSE,"closed"
"69","10.1111/ejn.14908",TRUE,"hybrid"
"70","10.1039/c9dt00780f",FALSE,"closed"
"71","10.1039/c6sc01883a",TRUE,"gold"
"72","10.1039/d0cc01420f",TRUE,"hybrid"
"73","10.1055/s-0041-1727377",FALSE,"closed"
"74","10.1200/po.18.00371",TRUE,"green"
"75","10.1177/0146167216651851",FALSE,"closed"
"76","10.1177/1747021818806491",FALSE,"closed"
"77","10.1117/12.2241431",FALSE,"closed"
"78","10.1145/3444847",FALSE,"closed"
"79","10.1002/jclp.22225",FALSE,"closed"
"80","10.1024/1010-0652/a000142",FALSE,"closed"
"81","10.1039/c6dt03027k",FALSE,"closed"
"82","10.1039/c5cc00901d",TRUE,"green"
"83","10.1002/job.2151",FALSE,"closed"
"84","10.1039/c5dt04845a",FALSE,"closed"
"85","10.1055/s-0041-1727384",FALSE,"closed"
"86","10.1117/1.oe.59.8.086101",FALSE,"closed"
"87","10.1002/zaac.202100059",TRUE,"hybrid"
"88","10.1039/c4ce01025f",TRUE,"hybrid"
"89","10.1039/c5cp02219c",TRUE,"hybrid"
"90","10.1039/c5dt02828k",FALSE,"closed"
"91","10.1039/c7cy02257c",FALSE,"closed"
"92","10.1152/jn.00138.2020",FALSE,"closed"
"93","10.1039/c7dt03752j",FALSE,"closed"
"94","10.1039/d0cp00394h",TRUE,"hybrid"
"95","10.1039/c9dt03371h",FALSE,"closed"
"96","10.1109/icip.2016.7532378",FALSE,"closed"
"97","10.1111/cogs.12272",FALSE,"closed"
"98","10.1002/cne.24892",TRUE,"hybrid"
"99","10.1177/0891241620968271",TRUE,"hybrid"
"100","10.1039/c7tc01599b",FALSE,"closed"
"101","10.1021/acs.cgd.6b00109",FALSE,"closed"
"102","10.1021/acs.jpcc.7b07293",FALSE,"closed"
"103","10.5465/ambpp.2016.245",FALSE,"closed"
"104","10.1039/c5dt04266f",TRUE,"green"
"105","10.1002/9783527808465.emc2016.5912",TRUE,"bronze"
"106","10.1080/10503307.2020.1839140",TRUE,"bronze"
"107","10.1080/2150704x.2019.1670518",TRUE,"hybrid"
"108","10.5220/0006127303290336",TRUE,"hybrid"
"109","10.1177/0284185119852734",FALSE,"closed"
"110","10.1021/cg501734w",FALSE,"closed"
"111","10.5220/0005356601920200",FALSE,"closed"
"112","10.1080/13506285.2020.1764156",TRUE,"bronze"
"113","10.1063/1.5101028",TRUE,"hybrid"
"114","10.1111/1462-2920.15216",TRUE,"hybrid"
"115","10.1026/0932-4089/a000324",FALSE,"closed"
"116","10.1002/pssb.201800243",FALSE,"closed"
"117","10.33774/chemrxiv-2021-qkjjr",TRUE,"green"
"118","10.1080/02673037.2020.1857708",FALSE,"closed"
"119","10.33774/chemrxiv-2021-qkjjr-v2",TRUE,"green"
"120","10.1039/c5dt02306h",FALSE,"closed"
"121","10.1055/s-0039-1687706",FALSE,"closed"
"122","10.1002/per.2287",TRUE,"hybrid"
"123","10.1111/psyp.12849",FALSE,"closed"
"124","10.1111/spc3.12635",TRUE,"hybrid"
"125","10.1063/1.5110722",TRUE,"green"
"126","10.1002/bip.23466",TRUE,"hybrid"
"127","10.1080/23273798.2018.1562558",TRUE,"bronze"
"128","10.1145/3137065.3137078",FALSE,"closed"
"129","10.1111/tid.13696",TRUE,"hybrid"
"130","10.1039/c5tc03764f",FALSE,"closed"
"131","10.1145/2949689.2949694",FALSE,"closed"
"132","10.1021/acs.biochem.7b00477",TRUE,"green"
"133","10.1002/pssa.201700441",FALSE,"closed"
"134","10.1039/c8dt03853h",FALSE,"closed"
"135","10.1039/c5cc10219g",FALSE,"closed"
"136","10.1002/adfm.201704077",FALSE,"closed"
"137","10.1093/bioinformatics/btx228",TRUE,"hybrid"
"138","10.1111/psyp.12765",FALSE,"closed"
"139","10.1002/9783527696130.ch8",FALSE,"closed"
"140","10.2174/1389202922666210614131236",FALSE,"closed"
"141","10.1093/poq/nfaa005",FALSE,"closed"
"142","10.1145/3132847.3132980",TRUE,"green"
"143","10.1002/ange.202010180",TRUE,"hybrid"
"144","10.1002/per.2008",FALSE,"closed"
"145","10.1177/0284185117726101",FALSE,"closed"
"146","10.1093/geroni/igz038.2919",TRUE,"gold"
"147","10.1063/1.4934844",FALSE,"closed"
"148","10.14778/3231751.3231760",FALSE,"closed"
"149","10.1039/d0nr07031a",TRUE,"hybrid"
"150","10.1080/1747423x.2020.1858198",TRUE,"bronze"
"151","10.1039/c7ra12210a",TRUE,"gold"
"152","10.1039/c9pp00156e",TRUE,"hybrid"
"153","10.1002/zaac.201700276",FALSE,"closed"
"154","10.1039/c5cc01083g",TRUE,"hybrid"
"155","10.1145/3226592",FALSE,"closed"
"156","10.1145/3345768.3355925",FALSE,"closed"
"157","10.14778/2735479.2735480",FALSE,"closed"
"158","10.1145/3452021.3458326",FALSE,"closed"
"159","10.1111/psyp.12703",FALSE,"closed"
"160","10.22541/au.159345365.59619601",TRUE,"green"
"161","10.14778/2824032.2824094",FALSE,"closed"
"162","10.1104/pp.17.00505",TRUE,"bronze"
"163","10.1002/zaac.201700295",TRUE,"bronze"
"164","10.1039/c7cy00845g",FALSE,"closed"
"165","10.1063/1.5088758",TRUE,"green"
"166","10.1177/02841851211025863",TRUE,"hybrid"
"167","10.1145/3448016.3457318",FALSE,"closed"
"168","10.1145/3372923.3404836",FALSE,"closed"
"169","10.1021/acs.organomet.7b00858",FALSE,"closed"
"170","10.1039/c7cc04670g",FALSE,"closed"
"171","10.1111/jzo.12419",FALSE,"closed"
"172","10.1039/c6ee00247a",FALSE,"closed"
"173","10.1039/c7cp08083b",FALSE,"closed"
"174","10.1021/acsami.7b12586",FALSE,"closed"
"175","10.1063/1.5024632",FALSE,"closed"
"176","10.1002/anie.202010180",TRUE,"hybrid"
"177","10.1002/cphc.201500586",FALSE,"closed"
"178","10.1021/acsphotonics.7b00526",TRUE,"green"
"179","10.1177/0284185119861312",FALSE,"closed"
"180","10.1080/10705511.2019.1642755",TRUE,"hybrid"
"181","10.1021/nl504941q",FALSE,"closed"
"182","10.1093/geroni/igy023.251",TRUE,"gold"
"183","10.1039/c9fd00059c",TRUE,"hybrid"
"184","10.1021/acs.jpca.6b02127",FALSE,"closed"
"185","10.1021/acs.inorgchem.0c00279",FALSE,"closed"
"186","10.1002/anie.201606625",TRUE,"bronze"
"187","10.1021/acs.inorgchem.7b01347",FALSE,"closed"
"188","10.1021/ja513027s",FALSE,"closed"
"189","10.1021/acsami.5b01669",FALSE,"closed"
"190","10.1152/jn.00333.2018",TRUE,"bronze"
"191","10.1093/geroni/igaa057.3393",TRUE,"gold"
"192","10.1177/0013164419829196",TRUE,"green"
"193","10.1039/c4tc02510e",TRUE,"hybrid"
"194","10.1080/08856257.2020.1755931",TRUE,"bronze"
"195","10.1039/c8cc05494k",FALSE,"closed"
"196","10.1039/c5cp06828b",FALSE,"closed"
"197","10.1177/1073191118810057",TRUE,"green"
"198","10.1055/s-0040-1718157",TRUE,"green"
"199","10.1080/21532974.2021.1929585",FALSE,"closed"
"200","10.1093/geroni/igx004.1015",TRUE,"gold"
"201","10.1099/mic.0.000055",TRUE,"bronze"
"202","10.1039/d0nr03581e",TRUE,"hybrid"
"203","10.1021/acs.chemmater.6b01796",FALSE,"closed"
"204","10.1002/zaac.201770221",TRUE,"bronze"
"205","10.1111/spol.12398",FALSE,"closed"
"206","10.1002/cctc.201701327",FALSE,"closed"
"207","10.1039/c6cp05313k",TRUE,"hybrid"
"208","10.1039/c7cs00137a",TRUE,"hybrid"
"209","10.1093/ndt/gfy104.fo032",TRUE,"bronze"
"210","10.1111/csp2.375",TRUE,"gold"
"211","10.1063/1.5049090",FALSE,"closed"
"212","10.1063/1.4936759",FALSE,"closed"
"213","10.1177/02698811211009797",FALSE,"closed"
"214","10.1039/c7cc00504k",FALSE,"closed"
"215","10.1002/ijch.201900119",TRUE,"hybrid"
"216","10.1002/ange.201509875",FALSE,"closed"
"217","10.1002/ange.201509111",FALSE,"closed"
"218","10.1002/ejic.201601122",FALSE,"closed"
"219","10.1002/anie.201509875",TRUE,"green"
"220","10.1021/acscatal.6b01699",FALSE,"closed"
"221","10.1177/0146167216629114",FALSE,"closed"
"222","10.1002/adma.201604382",FALSE,"closed"
"223","10.1152/jn.00518.2019",TRUE,"hybrid"
"224","10.1515/ang-2018-0018",FALSE,"closed"
"225","10.1177/01455613211029749",TRUE,"gold"
"226","10.1021/acs.jpcc.7b08026",FALSE,"closed"
"227","10.1039/c9cy01585j",FALSE,"closed"
"228","10.1145/3324884.3416668",FALSE,"closed"
"229","10.1021/acsnano.0c04144",FALSE,"closed"
"230","10.1002/cctc.201601238",FALSE,"closed"
"231","10.1002/chem.201705927",FALSE,"closed"
"232","10.1002/ange.201604305",FALSE,"closed"
"233","10.1002/zaac.202100145",TRUE,"hybrid"
"234","10.1098/rsob.160136",TRUE,"gold"
"235","10.1002/anie.201604305",FALSE,"closed"
"236","10.1002/ange.201606625",TRUE,"bronze"
"237","10.1002/chem.201700403",FALSE,"closed"
"238","10.1039/c9sc03008e",TRUE,"gold"
"239","10.1242/jeb.148957",TRUE,"hybrid"
"240","10.1145/3087556.3087597",FALSE,"closed"
"241","10.1039/c5ib00050e",FALSE,"closed"
"242","10.1093/bioinformatics/btab042",TRUE,"green"
"243","10.1021/bk-2016-1245.ch009",FALSE,"closed"
"244","10.1039/c8sc04083d",TRUE,"gold"
"245","10.1111/1467-9248.12193",FALSE,"closed"
"246","10.1080/00309230.2021.1876744",FALSE,"closed"
"247","10.1145/3110224.3110237",FALSE,"closed"
"248","10.7554/elife.46300",TRUE,"gold"
"249","10.1002/tsm2.191",TRUE,"hybrid"
"250","10.1515/bfp-2018-0064",TRUE,"bronze"
"251","10.1177/2332858416686739",TRUE,"gold"
"252","10.1039/c5mh00023h",TRUE,"hybrid"
"253","10.1111/ejn.14477",TRUE,"hybrid"
"254","10.1002/ange.201802655",FALSE,"closed"
"255","10.1002/ange.201612417",FALSE,"closed"
"256","10.1039/d0ce00287a",FALSE,"closed"
"257","10.1002/anie.201509111",FALSE,"closed"
"258","10.1080/04353684.2020.1739546",TRUE,"hybrid"
"259","10.1002/pssb.201552539",FALSE,"closed"
"260","10.1002/ece3.5592",TRUE,"gold"
"261","10.1162/jocn_a_01404",FALSE,"closed"
"262","10.1021/nl5042484",FALSE,"closed"
"263","10.1002/chem.202004945",TRUE,"hybrid"
"264","10.1002/jbio.201700164",FALSE,"closed"
"265","10.1002/chem.202001818",TRUE,"hybrid"
"266","10.1021/acs.inorgchem.5b02740",FALSE,"closed"
"267","10.1021/jacs.9b06826",FALSE,"closed"
"268","10.1021/acs.inorgchem.0c03761",FALSE,"closed"
"269","10.1002/zaac.202000026",TRUE,"hybrid"
"270","10.1039/c7nr02762a",TRUE,"hybrid"
"271","10.1002/anie.201612417",FALSE,"closed"
"272","10.1039/c9qm00325h",FALSE,"closed"
"273","10.1026/0049-8637/a000142",TRUE,"green"
"274","10.1117/12.2232902",FALSE,"closed"
"275","10.1039/c9dt00831d",FALSE,"closed"
"276","10.1002/anie.201802655",FALSE,"closed"
"277","10.1002/chem.201703489",FALSE,"closed"
"278","10.1021/acs.organomet.7b00757",FALSE,"closed"
"279","10.1105/tpc.17.00659",TRUE,"bronze"
"280","10.1002/jrs.5965",TRUE,"hybrid"
"281","10.1001/jamaneurol.2021.2004",TRUE,"bronze"
"282","10.1021/nn506095g",FALSE,"closed"
"283","10.1039/c9cy02329a",FALSE,"closed"
"284","10.1055/s-0039-1687698",FALSE,"closed"
"285","10.1080/07409710.2021.1943612",TRUE,"hybrid"
"286","10.1039/c8cp03978j",FALSE,"closed"
"287","10.7554/elife.46300.020",TRUE,"gold"
"288","10.1111/jzs.12114",FALSE,"closed"
"289","10.1080/1747423x.2016.1241317",FALSE,"closed"
"290","10.1111/jora.12433",FALSE,"closed"
"291","10.1080/0163853x.2016.1148981",FALSE,"closed"
"292","10.14220/mdge.2018.65.2.130",FALSE,"closed"
"293","10.1080/1523908x.2020.1814130",TRUE,"bronze"
"294","10.1099/mic.0.000846",TRUE,"bronze"
"295","10.1080/10556788.2020.1817448",FALSE,"closed"
"296","10.1039/d0cc06661c",TRUE,"hybrid"
"297","10.1515/cdbme-2020-2012",TRUE,"gold"
"298","10.1177/01455613211023009",TRUE,"gold"
"299","10.1093/jamiaopen/ooab025",TRUE,"gold"
"300","10.3233/isb-190473",TRUE,"gold"
"301","10.1002/bjs.11751",TRUE,"bronze"
"302","10.1055/a-1300-9086",FALSE,"closed"
"303","10.1111/1462-2920.12991",TRUE,"hybrid"
"304","10.1111/jzs.12106",FALSE,"closed"
"305","10.1002/ece3.7894",TRUE,"gold"
"306","10.7554/elife.49974.sa2",TRUE,"gold"
"307","10.1021/acs.jpcc.6b02753",TRUE,"hybrid"
"308","10.1026/1616-3443/a000566",FALSE,"closed"
"309","10.1039/d0nr03863f",TRUE,"hybrid"
"310","10.7554/elife.49974",TRUE,"gold"
"311","10.1099/mic.0.000241",TRUE,"bronze"
"312","10.1080/10705511.2018.1517355",TRUE,"hybrid"
"313","10.1026/1616-3443/a000306",FALSE,"closed"
"314","10.1117/12.2235992",FALSE,"closed"
"315","10.21203/rs.3.rs-546079/v1",TRUE,"green"
"316","10.1039/c4dt03229b",TRUE,"hybrid"
"317","10.1063/5.0002847",TRUE,"gold"
"318","10.1063/1.4908052",TRUE,"green"
"319","10.1002/ange.201611706",FALSE,"closed"
"320","10.1167/jov.20.4.17",TRUE,"gold"
"321","10.1063/1.4998805",TRUE,"gold"
"322","10.1080/21623945.2019.1675239",TRUE,"gold"
"323","10.1063/1.4961460",TRUE,"green"
"324","10.3366/word.2019.0153",FALSE,"closed"
"325","10.4204/eptcs.180.4",TRUE,"gold"
"326","10.1145/3419804.3421450",FALSE,"closed"
"327","10.1155/2015/672305",TRUE,"gold"
"328","10.1089/chi.2020.0318",FALSE,"closed"
"329","10.1002/app.48380",TRUE,"hybrid"
"330","10.1021/jacs.7b09611",TRUE,"hybrid"
"331","10.1177/0271678x211010353",TRUE,"hybrid"
"332","10.1002/chem.201800207",FALSE,"closed"
"333","10.1039/c6cc08672a",FALSE,"closed"
"334","10.1063/1.4999352",FALSE,"closed"
"335","10.1075/li.00040.mac",FALSE,"closed"
"336","10.1027/1015-5759/a000451",FALSE,"closed"
"337","10.1145/3377880",FALSE,"closed"
"338","10.1002/mas.21716",TRUE,"hybrid"
"339","10.1002/chem.201801550",TRUE,"bronze"
"340","10.1136/acupmed-2017-011382",TRUE,"hybrid"
"341","10.1002/pei3.10039",TRUE,"gold"
"342","10.1002/anie.201611706",FALSE,"closed"
"343","10.1002/jmor.20818",FALSE,"closed"
"344","10.1039/c5sc03053f",TRUE,"gold"
"345","10.1039/c6dt04711d",FALSE,"closed"
"346","10.1111/rssc.12499",TRUE,"hybrid"
"347","10.1145/3078752",FALSE,"closed"
"348","10.1021/acsaem.8b00666",FALSE,"closed"
"349","10.1021/acscatal.7b02646",FALSE,"closed"
"350","10.1128/jb.00521-18",TRUE,"bronze"
"351","10.1002/jmor.21007",FALSE,"closed"
"352","10.1167/jov.20.2.11",TRUE,"gold"
"353","10.1080/09273948.2017.1375532",FALSE,"closed"
"354","10.1055/a-1173-9225",FALSE,"closed"
"355","10.1002/mbo3.775",TRUE,"gold"
"356","10.1063/1.5007924",FALSE,"closed"
"357","10.1002/zaac.202000221",TRUE,"hybrid"
"358","10.1515/bd-2017-0102",TRUE,"green"
"359","10.1002/jms.3942",FALSE,"closed"
"360","10.1002/ange.201707759",FALSE,"closed"
"361","10.1145/2978249.2978255",FALSE,"closed"
"362","10.1021/nl504856w",FALSE,"closed"
"363","10.1093/neuros/nyab326",TRUE,"hybrid"
"364","10.1111/cmi.12491",TRUE,"bronze"
"365","10.1126/sciadv.abf2218",TRUE,"gold"
"366","10.1080/10564934.2020.1723420",TRUE,"hybrid"
"367","10.1021/acs.jpcc.6b01895",TRUE,"hybrid"
"368","10.1021/acs.jpcc.6b10905",FALSE,"closed"
"369","10.1093/scan/nsaa164",TRUE,"gold"
"370","10.1055/s-0041-1726727",FALSE,"closed"
"371","10.1002/chem.202083161",TRUE,"bronze"
"372","10.1055/s-0038-1641831",FALSE,"closed"
"373","10.1063/1.4977716",FALSE,"closed"
"374","10.1002/chem.201801662",FALSE,"closed"
"375","10.1002/cctc.201600257",FALSE,"closed"
"376","10.1111/phc3.12412",TRUE,"green"
"377","10.1521/pedi_2017_31_331",FALSE,"closed"
"378","10.1039/c8cp03632b",FALSE,"closed"
"379","10.5465/ambpp.2015.15986abstract",FALSE,"closed"
"380","10.1111/sms.13503",FALSE,"closed"
"381","10.1055/a-1264-0348",FALSE,"closed"
"382","10.1002/pssr.202000408",TRUE,"hybrid"
"383","10.1039/c8cy00502h",FALSE,"closed"
"384","10.1177/2059204319848991",TRUE,"gold"
"385","10.1128/jb.00092-18",TRUE,"bronze"
"386","10.1177/0271678x19861604",TRUE,"hybrid"
"387","10.1080/09638180.2020.1852095",TRUE,"bronze"
"388","10.1063/1.5049082",TRUE,"green"
"389","10.1111/psyp.12448",FALSE,"closed"
"390","10.1002/per.2266",TRUE,"green"
"391","10.1002/per.2269",TRUE,"hybrid"
"392","10.1145/3137065.3137071",FALSE,"closed"
"393","10.1080/01973533.2019.1689362",TRUE,"hybrid"
"394","10.1080/00048402.2020.1745252",TRUE,"bronze"
"395","10.1002/pssb.202000088",TRUE,"hybrid"
"396","10.1002/chem.202100298",TRUE,"hybrid"
"397","10.1063/1.5084791",TRUE,"gold"
"398","10.1080/10253890.2021.1908255",FALSE,"closed"
"399","10.1002/adfm.201800409",FALSE,"closed"
"400","10.1177/0284185120928929",FALSE,"closed"
"401","10.1002/ejic.201601152",TRUE,"bronze"
"402","10.1002/chem.201800503",FALSE,"closed"
"403","10.1002/zaac.201800180",FALSE,"closed"
"404","10.1002/ejic.201600682",FALSE,"closed"
"405","10.7554/elife.66960",TRUE,"gold"
"406","10.1111/acem.14011",FALSE,"closed"
"407","10.1002/chem.201704858",TRUE,"bronze"
"408","10.1002/cpnc.44",FALSE,"closed"
"409","10.1080/23273798.2016.1212081",FALSE,"closed"
"410","10.1002/pssa.201532551",FALSE,"closed"
"411","10.1111/mmi.14581",TRUE,"hybrid"
"412","10.1002/chem.201904493",TRUE,"hybrid"
"413","10.1063/5.0002247",FALSE,"closed"
"414","10.1002/zaac.201800323",FALSE,"closed"
"415","10.1002/chem.201700549",TRUE,"bronze"
"416","10.1021/jacs.5b09519",FALSE,"closed"
"417","10.1002/anie.201707759",FALSE,"closed"
"418","10.1080/14650045.2021.1912021",FALSE,"closed"
"419","10.1021/acs.organomet.5b00439",FALSE,"closed"
"420","10.1021/om500952x",FALSE,"closed"
"421","10.1002/ejic.201670281",TRUE,"bronze"
"422","10.1002/zaac.201600322",FALSE,"closed"
"423","10.1098/rstb.2019.0650",TRUE,"green"
"424","10.1021/acs.macromol.5b02137",FALSE,"closed"
"425","10.1111/psyp.13361",FALSE,"closed"
"426","10.1080/1359432x.2020.1760247",TRUE,"bronze"
"427","10.1111/nan.12617",TRUE,"hybrid"
"428","10.1111/psyp.12884",FALSE,"closed"
"429","10.1093/cercor/bhx359",TRUE,"hybrid"
"430","10.1021/acsami.7b01178",FALSE,"closed"
"431","10.1177/1071181320641028",FALSE,"closed"
"432","10.1002/mus.25142",FALSE,"closed"
"433","10.1055/a-1033-7304",FALSE,"closed"
"434","10.1080/09593985.2020.1818341",TRUE,"bronze"
"435","10.1167/jov.20.11.709",TRUE,"gold"
"436","10.1039/c5ra08757k",FALSE,"closed"
"437","10.1152/japplphysiol.00493.2016",TRUE,"bronze"
"438","10.1039/c5dt00710k",FALSE,"closed"
"439","10.1021/acs.jpcb.5b07008",FALSE,"closed"
"440","10.1063/1.4934501",TRUE,"green"
"441","10.1021/acs.jpcb.7b09283",FALSE,"closed"
"442","10.3233/ch-190579",FALSE,"closed"
"443","10.1080/15592294.2020.1805695",TRUE,"green"
"444","10.7554/elife.66960.sa2",TRUE,"gold"
"445","10.1039/d0ra03572f",TRUE,"gold"
"446","10.1021/acs.jpcb.7b05031",FALSE,"closed"
"447","10.1145/3170427.3174360",FALSE,"closed"
"448","10.1515/opli-2020-0020",TRUE,"gold"
"449","10.1002/chem.201605511",TRUE,"green"
"450","10.1055/s-0040-1708294",FALSE,"closed"
"451","10.5220/0005786006550663",FALSE,"closed"
"452","10.7717/peerj.10875",TRUE,"gold"
"453","10.1093/geroni/igz038.2915",TRUE,"gold"
"454","10.1080/0966369x.2017.1334631",FALSE,"closed"
"455","10.1111/psyp.13067",FALSE,"closed"
"456","10.1039/c5dt00914f",TRUE,"hybrid"
"457","10.1080/10242694.2020.1791616",TRUE,"bronze"
"458","10.1080/21681376.2019.1668291",TRUE,"gold"
"459","10.1080/02699931.2016.1194258",FALSE,"closed"
"460","10.1055/s-0039-1683668",FALSE,"closed"
"461","10.1111/ctr.14093",TRUE,"hybrid"
"462","10.1515/jpm-2020-0204",TRUE,"hybrid"
"463","10.1111/jopy.12517",TRUE,"hybrid"
"464","10.1515/phil-2018-0023",FALSE,"closed"
"465","10.1515/jpm-2020-0562",FALSE,"closed"
"466","10.1177/0284185119861314",FALSE,"closed"
"467","10.1145/3239332.3242767",FALSE,"closed"
"468","10.31205/ra.350.03",TRUE,"bronze"
"469","10.21203/rs.3.rs-46884/v1",TRUE,"green"
"470","10.1055/s-0037-1619364",FALSE,"closed"
"471","10.1021/acs.jpclett.7b02772",FALSE,"closed"
"472","10.1055/s-0039-1683529",FALSE,"closed"
"473","10.1080/02656736.2021.1909757",TRUE,"gold"
"474","10.1145/2996758.2996770",TRUE,"bronze"
"475","10.3233/fi-2021-2017",FALSE,"closed"
"476","10.1002/9783527808465.emc2016.5921",TRUE,"bronze"
"477","10.1063/1.4953812",TRUE,"gold"
"478","10.1111/acps.12707",FALSE,"closed"
"479","10.1111/apha.13102",FALSE,"closed"
"480","10.1002/anie.201605311",FALSE,"closed"
"481","10.1093/geroni/igz038.1626",TRUE,"gold"
"482","10.1002/ejic.201800269",FALSE,"closed"
"483","10.1039/c8dt03279c",TRUE,"green"
"484","10.1002/ente.202000880",TRUE,"hybrid"
"485","10.1002/jcsm.12416",TRUE,"gold"
"486","10.1002/1873-3468.12223",FALSE,"closed"
"487","10.1002/jmri.27833",TRUE,"hybrid"
"488","10.1002/cbic.201700271",FALSE,"closed"
"489","10.3233/fi-2021-2018",FALSE,"closed"
"490","10.1039/c9tc06509a",TRUE,"hybrid"
"491","10.1080/10556788.2017.1378653",TRUE,"green"
"492","10.1055/s-0039-1683724",FALSE,"closed"
"493","10.1002/pros.23685",FALSE,"closed"
"494","10.1177/1120672121990611",TRUE,"hybrid"
"495","10.1021/acs.joc.5b02003",FALSE,"closed"
"496","10.1080/21681376.2017.1351886",TRUE,"gold"
"497","10.1021/acs.jpcc.8b09697",FALSE,"closed"
"498","10.1021/acs.chemmater.9b01802",FALSE,"closed"
"499","10.1104/pp.16.01009",TRUE,"bronze"
"500","10.1152/jn.00684.2015",TRUE,"bronze"
"501","10.1021/acs.bioconjchem.0c00284",TRUE,"hybrid"
"502","10.1021/acsami.7b10106",FALSE,"closed"
"503","10.1002/pssa.201800322",FALSE,"closed"
"504","10.1002/ange.201812284",FALSE,"closed"
"505","10.7554/elife.67171",TRUE,"gold"
"506","10.1146/annurev-biophys-060414-034014",FALSE,"closed"
"507","10.1111/jomf.12694",TRUE,"hybrid"
"508","10.1177/0165025416678094",FALSE,"closed"
"509","10.3233/ch-1990-10612",FALSE,"closed"
"510","10.1093/nar/gkaa236",TRUE,"gold"
"511","10.1093/geroni/igy023.3234",TRUE,"gold"
"512","10.1111/nan.12454",FALSE,"closed"
"513","10.14778/3007328.3007332",FALSE,"closed"
"514","10.1093/jxb/erab110",TRUE,"hybrid"
"515","10.1021/acsami.5b10858",FALSE,"closed"
"516","10.1002/cphc.201700267",TRUE,"bronze"
"517","10.1002/ejic.202000895",TRUE,"hybrid"
"518","10.1002/cphc.201601442",TRUE,"green"
