Bundesland (Bundesländeratlas),Affiliation (Bundesländeratlas),Affiliation GERiT,Affiliation GERiT english,Affiliation RoR,RoR ID,GRID ID (Bundesländeratlas),GRID ID GERiT,Wikidata ID,DFG Instituts ID (GERiT),Straße (GERiT),Hausnummer (GERiT),Postfach (GERiT),Postleitzahl nach Ort (GERiT),Ort (GERiT),DESTATIS Fächerguppe (GERiT),DESTATIS Lehr- Forschungsbereich (GERiT),DESTATIS Fachgebiet (GERiT),Crossref ID 1 (GERiT),Crossref ID 2 (GERiT),Crossref ID 3 (GERiT),URL GERiT Nachweis (?),URL (Bundesländeratlas(,URL GERIT,"Typ (Universität; Hochschule
 Forschungsorganisation; Ressortforschung; 
 Vereinigung; Stiftung, Weitere) (Bundesländeratlas)",Typ GERIT,Typ GERIT english,OA-Webseite der Institution (Link) (Bundesländeratlas),Datumsstempel OA-Webseite (Bundesländeratlas),OA-Beauftragte/r (Bundesländeratlas),Link (Bundesländeratlas),Datumsstempel OA-beauftragte Person (Bundesländeratlas),Notes/Hinweise (Bundesländeratlas),"Ansprechperson (Bundesländeratlas)
 für Open Access",Link (Bundesländeratlas),Datumsstempel OA-Ansprechperson (Bundesländeratlas),"(Funktions)-
 Emailadresse (Bundesländeratlas)",OA-Policy (Bundesländeratlas),Datum der Policy (Bundesländeratlas),Policy Link (Bundesländeratlas),Notes/Hinweise zur Policy (Bundesländeratlas),OA-Leitlinien (Bundesländeratlas),Datum Leitlinien (Bundesländeratlas),Publikationsfonds (ja /nein) (Bundesländeratlas),Art der Finanzierung (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Zeitschriften",Link (Bundesländeratlas),"Publikationsfonds (Bundesländeratlas)
 Monografien/Sammelbände",Publikationsfonds Link (Bundesländeratlas),Datumsstempel Publikationsfonds (Bundesländeratlas),Notes/Hinweise Publikationsfonds (Bundesländeratlas),Repositorium (Link) (Bundesländeratlas),Incentivierung /Preise (Bundesländeratlas),Berliner Erklärung (Bundesländeratlas),Datum Berliner Erklärung (Bundesländeratlas),OA2020 (Bundesländeratlas),Datum OA2020 (Bundesländeratlas),DORA (Institutionen) (Bundesländeratlas),DORA (Personen) (Bundesländeratlas),Jussieu-Appell (Bundesländeratlas),aktualisiert am (Bundesländeratlas)
Baden-Württemberg,NA,EU Regional Office Baden-Württemberg,EU Regional Office Baden-Württemberg,NA,NA,NA,NA,NA,218734089,Max-Planck-Ring,11,NA,72076,Tübingen,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/218734089,eu.tuebingen.mpg.de/,eu.tuebingen.mpg.de/,Forschungsorganisation: Max-Planck-Gesellschaft,MPG,Max Planck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baden-Württemberg,FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur GmbH (FIZ KA),FIZ Karlsruhe - Leibniz-Institut für Informationsinfrastruktur GmbH (FIZ KA),FIZ Karlsruhe - Leibniz Institute for Information Infrastructure,FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,https://ror.org/0387prb75,grid.434104.6,grid.434104.6,Q1388737,12898,Hermann-von-Helmholtz-Platz,1,NA,76344,Eggenstein-Leopoldshafen,Geisteswissenschaften,"Bibliothekswissenschaft, Dokumentation","Bibliothekswissenschaft, Dokumentation allgemein",NA,NA,NA,http://www.gerit.org/de/institutiondetail/12898,www.fiz-karlsruhe.de/,www.fiz-karlsruhe.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Baden-Württemberg,GESIS - Leibniz-Institut für Sozialwissenschaften,GESIS - Leibniz-Institut für Sozialwissenschaften,GESIS - Leibniz Institute for the Social Sciences,Leibniz Institute for the Social Sciences,https://ror.org/018afyw53,grid.425053.5,grid.425053.5,Q1485220,145000415,NA,NA,Postfach 122155,68072,Mannheim,"Rechts-, Wirtschafts- und Sozialwissenschaften",Sozialwissenschaften,Sozialwissenschaften allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/145000415,www.gesis.org,www.gesis.org,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,Dr. Agathe Gebert,https://www.gesis.org/institut/mitarbeiterverzeichnis/person/agathe.gebert?no_cache=1,26.02.2021,agathe.gebert@gesis.org,ja,,https://www.gesis.org/angebot/wissen-vermitteln/publikationen/open-access-policy,keine Datumsangabe,,,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2025,https://www.gesis.org/ssoar/home,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Baden-Württemberg,Helmholtz-Allianz für Astroteilchenphysik,Helmholtz-Allianz für Astroteilchenphysik,Helmholtz Alliance for Astroparticle Physics,NA,NA,NA,NA,NA,216374498,Hermann-von-Helmholtz-Platz,1,NA,76344,Eggenstein-Leopoldshafen,"Mathematik, Naturwissenschaften","Physik, Astronomie","Astronomie, Astrophysik",NA,NA,NA,http://www.gerit.org/de/institutiondetail/216374498,www.hap-astroteilchen.de/,www.hap-astroteilchen.de/,Forschungsorganisation: Helmholtz-Gemeinschaft,HGF,Helmholtz,,30.03.2021,,,30.03.2021,keine Hinweise,,,30.03.2021,,ja,07.04.2016,gfzpublic.gfz-potsdam.de/rest/items/item_5004288_3/component/file_5004290/content,,,,nein,,,,,,30.03.2021,,,,"ja, als HGF",22.10.2003,ja,21.03.2016,nein,,nein,30.03.2021
Baden-Württemberg,Karlsruher Institut für Technologie (KIT),,NA,Karlsruhe Institute of Technology,https://ror.org/04t3en479,grid.7892.4,NA,Q309988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,www.kit.edu,,Forschungsorganisation: Helmholtz-Gemeinschaft,,,www.bibliothek.kit.edu/open-access.php,14.12.2020,Regine Tobias,os.helmholtz.de/open-science-in-der-helmholtz-gemeinschaft/akteure-und-ihre-rollen/#c2556,04.01.2021,,,,04.01.2021,egine tobias@kit edu,ja,07.04.2016,gfzpublic.gfz-potsdam.de/rest/items/item_5004288_3/component/file_5004290/content,,,,ja,,ja,www.bibliothek.kit.edu/open-access.php,nein,,12.02.2021,,www.bibliothek.kit.edu/kitopen.php,,ja,18.10.2010,ja,21.03.2016,ja,,nein,12.02.2021
Baden-Württemberg,Karlsruher Institut für Technologie (KIT),Karlsruher Institut für Technologie (KIT),Karlsruhe Institute of Technology (KIT),Karlsruhe Institute of Technology,https://ror.org/04t3en479,grid.7892.4,grid.7892.4,NA,169579332,Kaiserstraße,12,NA,76131,Karlsruhe,Zentrale Einrichtungen (ohne klinikspezifische Einrichtungen),Hochschule insgesamt,Hochschule allgemein,NA,NA,NA,http://www.gerit.org/de/institutiondetail/169579332,,www.kit.edu,Universität,Universität,university,www.bibliothek.kit.edu/open-access.php,21.11.2020,Regine Tobias,www.bibliothek.kit.edu/mitarbeiter_184.php,21.11.2020,,Regine Tobias,www.bibliothek.kit.edu/mitarbeiter_184.php,21.11.2020,regine.tobias@kit.edu,ja,24.03.2010,www.bibliothek.kit.edu/open-access.php,,,,ja,DFG-Kofinanziert; EU,ja,www.bibliothek.kit.edu/kit-publikationsfonds-services.php#Anker0,nein,,21.11.2020,keine Angabe zu Monografien/Sammelwerke,www.bibliothek.kit.edu/kitopen.php,,ja,18.10.2010,nein,,nein,"Axel Loewe, Erwin Zehe, Thomas Horn",nein,21.11.2020
Baden-Württemberg,Leibniz-Institut für Deutsche Sprache (IDS),Leibniz-Institut für Deutsche Sprache (IDS),Leibniz Institute for the German Language (IDS),Leibniz Institute for the German Language,https://ror.org/00hvwkt50,grid.443960.c,grid.443960.c,Q1664834,10101,R 5,6-13,NA,68161,Mannheim,Geisteswissenschaften,"Germanistik (Deutsch, germanische Sprachen ohne Anglistik)",Deutsche Sprachwissenschaft,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10101,www.ids-mannheim.de,www.ids-mannheim.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www1.ids-mannheim.de/bibliothek/open-access-am-ids.html,26.02.2021,Monika Pohlschmidt,https://www1.ids-mannheim.de/bibliothek/open-access-am-ids.html,26.02.2021,,,,26.02.2021,pohlschmidt(at)ids-mannheim.de,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,https://www1.ids-mannheim.de/bibliothek/open-access-am-ids/leitlinie.html,26.06.2019,ja,über WGL Publikationsfonds,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-zeitschriften.html,ja,https://www.leibniz-gemeinschaft.de/forschung/open-science-und-digitalisierung/open-access/publikationsfonds-monografien.html,26.02.2021,Strategiefonds der Leibniz-Gemeinschaft Pilotprjekt vom 1. Januar 2019 bis 30. Juni 2026,https://repos.ids-mannheim.de/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Baden-Württemberg,Leibniz-Institut für Sonnenphysik (KIS),Leibniz-Institut für Sonnenphysik (KIS),Leibniz Institute of Solar Physics (KIS),Kiepenheuer Institut für Sonnenphysik,https://ror.org/006g31f33,grid.438117.8,NA,Q835416,10099,Schöneckstraße,6,NA,79104,Freiburg,"Mathematik, Naturwissenschaften","Physik, Astronomie","Astronomie, Astrophysik",NA,NA,NA,http://www.gerit.org/de/institutiondetail/10099,www.leibniz-kis.de/,www.leibniz-kis.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,,26.02.2021,,,26.02.2021,keine Hinweise,,,26.02.2021,,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Baden-Württemberg,Leibniz-Institut für Wissensmedien (IWM),Leibniz-Institut für Wissensmedien (IWM),Leibniz-Institut für Wissensmedien (IWM),Leibniz-Institut für Wissensmedien,https://ror.org/03hv28176,grid.418956.7,grid.418956.7,Q1813768,10809,Schleichstraße,6,NA,72076,Tübingen,Geisteswissenschaften,Geisteswissenschaften allgemein,Medienwissenschaft,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10809,www.iwm-tuebingen.de,www.iwm-tuebingen.de,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.iwm-tuebingen.de/www/de/forschung/openscience/index.html,26.02.2021,,,26.02.2021,keine Hinweise,Dr. Nora Umbach,https://www.iwm-tuebingen.de/www/de/forschung/openscience/index.html,26.02.2021,n.umbach@iwm-tuebingen.de,ja,22.11.2016,https://www.leibniz-gemeinschaft.de/fileadmin/user_upload/Bilder_und_Downloads/Forschung/Open_Science/Open_Access_Policy_web.pdf,Open Science Statement,https://www.iwm-tuebingen.de/www/de/forschung/openscience/index.html,keine Datumsangabe,nein,,,,,,26.02.2021,,https://www.psycharchives.org/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
Baden-Württemberg,Leibniz-Zentrum für Europäische Wirtschaftsforschung GmbH (ZEW),Leibniz-Zentrum für Europäische Wirtschaftsforschung GmbH (ZEW),Leibniz Centre for European Economic Research (ZEW),Centre for European Economic Research,https://ror.org/02qnsw591,grid.13414.33,NA,Q191206,10543,"L7, 1",NA,NA,68161,Mannheim,"Rechts-, Wirtschafts- und Sozialwissenschaften",Wirtschaftswissenschaften,Internationale Wirtschaft,NA,NA,NA,http://www.gerit.org/de/institutiondetail/10543,www.zew.de/,www.zew.de/,Forschungsorganisation: Leibniz-Gemeinschaft,WGL,Leibniz,https://www.zew.de/das-zew/ueber-das-zew,26.02.2021,,,26.02.2021,keine Hinweise,Dr. Holger Stichnoth,https://www.zew.de/das-zew/ueber-das-zew/open-access,26.02.2021,holger.stichnoth@zew.de,ja,,https://www.zew.de/das-zew/ueber-das-zew/open-access,keine Datumsangabe,,,nein,,,,,,26.02.2021,,http://www.leibnizopen.de/home/,,"ja, als WGL",22.10.2003,"ja, als WGL",21.03.2016,nein,,nein,26.02.2021
