"","DOIs","publication_year","resource_type"
"101","10.1021/acs.cgd.6b00109",2016,"journal-article"
"102","10.1021/acs.jpcc.7b07293",2017,"journal-article"
"103","10.5465/ambpp.2016.245",2016,"journal-article"
"104","10.1039/c5dt04266f",2016,"journal-article"
"105","10.1002/9783527808465.emc2016.5912",2016,"reference-entry"
"106","10.1080/10503307.2020.1839140",2020,"journal-article"
"107","10.1080/2150704x.2019.1670518",2019,"journal-article"
"108","10.5220/0006127303290336",2017,"proceedings-article"
"109","10.1177/0284185119852734",2019,"journal-article"
"110","10.1021/cg501734w",2015,"journal-article"
"111","10.5220/0005356601920200",2015,"proceedings-article"
"112","10.1080/13506285.2020.1764156",2020,"journal-article"
"113","10.1063/1.5101028",2019,"journal-article"
"114","10.1111/1462-2920.15216",2020,"journal-article"
"115","10.1026/0932-4089/a000324",2020,"journal-article"
"116","10.1002/pssb.201800243",2018,"journal-article"
"117","10.33774/chemrxiv-2021-qkjjr",2021,"posted-content"
"118","10.1080/02673037.2020.1857708",2020,"journal-article"
"119","10.33774/chemrxiv-2021-qkjjr-v2",2021,"posted-content"
"120","10.1039/c5dt02306h",2015,"journal-article"
"121","10.1055/s-0039-1687706",2019,"proceedings-article"
"122","10.1002/per.2287",2020,"journal-article"
"123","10.1111/psyp.12849",2017,"journal-article"
"124","10.1111/spc3.12635",2021,"journal-article"
"125","10.1063/1.5110722",2019,"journal-article"
"126","10.1002/bip.23466",2021,"journal-article"
"127","10.1080/23273798.2018.1562558",2019,"journal-article"
"128","10.1145/3137065.3137078",2017,"proceedings-article"
"129","10.1111/tid.13696",2021,"journal-article"
"130","10.1039/c5tc03764f",2016,"journal-article"
"131","10.1145/2949689.2949694",2016,"proceedings-article"
"132","10.1021/acs.biochem.7b00477",2017,"journal-article"
"133","10.1002/pssa.201700441",2017,"journal-article"
"134","10.1039/c8dt03853h",2018,"journal-article"
"135","10.1039/c5cc10219g",2016,"journal-article"
"136","10.1002/adfm.201704077",2017,"journal-article"
"137","10.1093/bioinformatics/btx228",2017,"journal-article"
"138","10.1111/psyp.12765",2016,"journal-article"
"139","10.1002/9783527696130.ch8",2017,"book-chapter"
"140","10.2174/1389202922666210614131236",2021,"journal-article"
"141","10.1093/poq/nfaa005",2020,"journal-article"
"142","10.1145/3132847.3132980",2017,"proceedings-article"
"143","10.1002/ange.202010180",2020,"journal-article"
"144","10.1002/per.2008",2015,"journal-article"
"145","10.1177/0284185117726101",2017,"journal-article"
"146","10.1093/geroni/igz038.2919",2019,"journal-article"
"147","10.1063/1.4934844",2015,"journal-article"
"148","10.14778/3231751.3231760",2018,"journal-article"
"149","10.1039/d0nr07031a",2021,"journal-article"
"150","10.1080/1747423x.2020.1858198",2021,"journal-article"
"151","10.1039/c7ra12210a",2017,"journal-article"
"152","10.1039/c9pp00156e",2019,"journal-article"
"153","10.1002/zaac.201700276",2017,"journal-article"
"154","10.1039/c5cc01083g",2015,"journal-article"
"155","10.1145/3226592",2019,"journal-article"
"156","10.1145/3345768.3355925",2019,"proceedings-article"
"157","10.14778/2735479.2735480",2015,"journal-article"
"158","10.1145/3452021.3458326",2021,"proceedings-article"
"159","10.1111/psyp.12703",2016,"journal-article"
"160","10.22541/au.159345365.59619601",2020,"posted-content"
"161","10.14778/2824032.2824094",2015,"journal-article"
"162","10.1104/pp.17.00505",2017,"journal-article"
"163","10.1002/zaac.201700295",2017,"journal-article"
"164","10.1039/c7cy00845g",2017,"journal-article"
"165","10.1063/1.5088758",2019,"journal-article"
"166","10.1177/02841851211025863",2021,"journal-article"
"167","10.1145/3448016.3457318",2021,"proceedings-article"
"168","10.1145/3372923.3404836",2020,"proceedings-article"
"169","10.1021/acs.organomet.7b00858",2018,"journal-article"
"170","10.1039/c7cc04670g",2017,"journal-article"
"171","10.1111/jzo.12419",2016,"journal-article"
"172","10.1039/c6ee00247a",2016,"journal-article"
"173","10.1039/c7cp08083b",2018,"journal-article"
"174","10.1021/acsami.7b12586",2017,"journal-article"
"175","10.1063/1.5024632",2018,"journal-article"
"176","10.1002/anie.202010180",2020,"journal-article"
"177","10.1002/cphc.201500586",2015,"journal-article"
"178","10.1021/acsphotonics.7b00526",2017,"journal-article"
"179","10.1177/0284185119861312",2019,"journal-article"
"180","10.1080/10705511.2019.1642755",2019,"journal-article"
"181","10.1021/nl504941q",2015,"journal-article"
"182","10.1093/geroni/igy023.251",2018,"journal-article"
"183","10.1039/c9fd00059c",2019,"journal-article"
"184","10.1021/acs.jpca.6b02127",2016,"journal-article"
"185","10.1021/acs.inorgchem.0c00279",2020,"journal-article"
"186","10.1002/anie.201606625",2016,"journal-article"
"187","10.1021/acs.inorgchem.7b01347",2017,"journal-article"
"188","10.1021/ja513027s",2015,"journal-article"
"189","10.1021/acsami.5b01669",2015,"journal-article"
"190","10.1152/jn.00333.2018",2018,"journal-article"
"191","10.1093/geroni/igaa057.3393",2020,"journal-article"
"192","10.1177/0013164419829196",2019,"journal-article"
"193","10.1039/c4tc02510e",2015,"journal-article"
"194","10.1080/08856257.2020.1755931",2020,"journal-article"
"195","10.1039/c8cc05494k",2018,"journal-article"
"196","10.1039/c5cp06828b",2016,"journal-article"
"197","10.1177/1073191118810057",2018,"journal-article"
"198","10.1055/s-0040-1718157",2020,"proceedings-article"
"199","10.1080/21532974.2021.1929585",2021,"journal-article"
"200","10.1093/geroni/igx004.1015",2017,"journal-article"
"201","10.1099/mic.0.000055",2015,"journal-article"
"202","10.1039/d0nr03581e",2020,"journal-article"
"203","10.1021/acs.chemmater.6b01796",2016,"journal-article"
"204","10.1002/zaac.201770221",2017,"journal-article"
"205","10.1111/spol.12398",2018,"journal-article"
"206","10.1002/cctc.201701327",2017,"journal-article"
"207","10.1039/c6cp05313k",2016,"journal-article"
"208","10.1039/c7cs00137a",2017,"journal-article"
"209","10.1093/ndt/gfy104.fo032",2018,"journal-article"
"210","10.1111/csp2.375",2021,"journal-article"
"211","10.1063/1.5049090",2018,"journal-article"
"212","10.1063/1.4936759",2015,"journal-article"
"213","10.1177/02698811211009797",2021,"journal-article"
"214","10.1039/c7cc00504k",2017,"journal-article"
"215","10.1002/ijch.201900119",2019,"journal-article"
"216","10.1002/ange.201509875",2015,"journal-article"
"217","10.1002/ange.201509111",2015,"journal-article"
"218","10.1002/ejic.201601122",2017,"journal-article"
"219","10.1002/anie.201509875",2015,"journal-article"
"220","10.1021/acscatal.6b01699",2016,"journal-article"
"221","10.1177/0146167216629114",2016,"journal-article"
"222","10.1002/adma.201604382",2016,"journal-article"
"223","10.1152/jn.00518.2019",2020,"journal-article"
"224","10.1515/ang-2018-0018",2018,"journal-article"
"225","10.1177/01455613211029749",2021,"journal-article"
"226","10.1021/acs.jpcc.7b08026",2017,"journal-article"
"227","10.1039/c9cy01585j",2020,"journal-article"
"228","10.1145/3324884.3416668",2020,"proceedings-article"
"229","10.1021/acsnano.0c04144",2020,"journal-article"
"230","10.1002/cctc.201601238",2017,"journal-article"
"231","10.1002/chem.201705927",2018,"journal-article"
"232","10.1002/ange.201604305",2016,"journal-article"
"233","10.1002/zaac.202100145",2021,"journal-article"
"234","10.1098/rsob.160136",2016,"journal-article"
"235","10.1002/anie.201604305",2016,"journal-article"
"236","10.1002/ange.201606625",2016,"journal-article"
"237","10.1002/chem.201700403",2017,"journal-article"
"238","10.1039/c9sc03008e",2020,"journal-article"
"239","10.1242/jeb.148957",2016,"journal-article"
"240","10.1145/3087556.3087597",2017,"proceedings-article"
"241","10.1039/c5ib00050e",2015,"journal-article"
"242","10.1093/bioinformatics/btab042",2021,"journal-article"
"243","10.1021/bk-2016-1245.ch009",2016,"book-chapter"
"244","10.1039/c8sc04083d",2019,"journal-article"
"245","10.1111/1467-9248.12193",2015,"journal-article"
"246","10.1080/00309230.2021.1876744",2021,"journal-article"
"247","10.1145/3110224.3110237",2017,"proceedings-article"
"248","10.7554/elife.46300",2019,"journal-article"
"249","10.1002/tsm2.191",2020,"journal-article"
"250","10.1515/bfp-2018-0064",2018,"journal-article"
"251","10.1177/2332858416686739",2017,"journal-article"
"252","10.1039/c5mh00023h",2015,"journal-article"
"253","10.1111/ejn.14477",2019,"journal-article"
"254","10.1002/ange.201802655",2018,"journal-article"
"255","10.1002/ange.201612417",2017,"journal-article"
"256","10.1039/d0ce00287a",2020,"journal-article"
"257","10.1002/anie.201509111",2015,"journal-article"
"258","10.1080/04353684.2020.1739546",2020,"journal-article"
"259","10.1002/pssb.201552539",2015,"journal-article"
"260","10.1002/ece3.5592",2019,"journal-article"
"261","10.1162/jocn_a_01404",2019,"journal-article"
"262","10.1021/nl5042484",2015,"journal-article"
"263","10.1002/chem.202004945",2021,"journal-article"
"264","10.1002/jbio.201700164",2017,"journal-article"
"265","10.1002/chem.202001818",2020,"journal-article"
"266","10.1021/acs.inorgchem.5b02740",2016,"journal-article"
"267","10.1021/jacs.9b06826",2019,"journal-article"
"268","10.1021/acs.inorgchem.0c03761",2021,"journal-article"
"269","10.1002/zaac.202000026",2020,"journal-article"
"270","10.1039/c7nr02762a",2017,"journal-article"
"271","10.1002/anie.201612417",2017,"journal-article"
"272","10.1039/c9qm00325h",2019,"journal-article"
"273","10.1026/0049-8637/a000142",2016,"journal-article"
"274","10.1117/12.2232902",2016,"proceedings-article"
"275","10.1039/c9dt00831d",2019,"journal-article"
"276","10.1002/anie.201802655",2018,"journal-article"
"277","10.1002/chem.201703489",2017,"journal-article"
"278","10.1021/acs.organomet.7b00757",2017,"journal-article"
"279","10.1105/tpc.17.00659",2017,"journal-article"
"280","10.1002/jrs.5965",2020,"journal-article"
"281","10.1001/jamaneurol.2021.2004",2021,"journal-article"
"282","10.1021/nn506095g",2015,"journal-article"
"283","10.1039/c9cy02329a",2020,"journal-article"
"284","10.1055/s-0039-1687698",2019,"proceedings-article"
"285","10.1080/07409710.2021.1943612",2021,"journal-article"
"286","10.1039/c8cp03978j",2018,"journal-article"
"287","10.7554/elife.46300.020",2019,"peer-review"
"288","10.1111/jzs.12114",2015,"journal-article"
"289","10.1080/1747423x.2016.1241317",2016,"journal-article"
"290","10.1111/jora.12433",2018,"journal-article"
"291","10.1080/0163853x.2016.1148981",2016,"journal-article"
"292","10.14220/mdge.2018.65.2.130",2018,"journal-article"
"293","10.1080/1523908x.2020.1814130",2020,"journal-article"
"294","10.1099/mic.0.000846",2019,"journal-article"
"295","10.1080/10556788.2020.1817448",2020,"journal-article"
"296","10.1039/d0cc06661c",2020,"journal-article"
"297","10.1515/cdbme-2020-2012",2020,"journal-article"
"298","10.1177/01455613211023009",2021,"journal-article"
"299","10.1093/jamiaopen/ooab025",2021,"journal-article"
"300","10.3233/isb-190473",2020,"journal-article"
"301","10.1002/bjs.11751",2020,"journal-article"
"302","10.1055/a-1300-9086",2021,"journal-article"
"303","10.1111/1462-2920.12991",2015,"journal-article"
"304","10.1111/jzs.12106",2015,"journal-article"
"305","10.1002/ece3.7894",2021,"journal-article"
"306","10.7554/elife.49974.sa2",2019,"peer-review"
"307","10.1021/acs.jpcc.6b02753",2016,"journal-article"
"308","10.1026/1616-3443/a000566",2020,"journal-article"
"309","10.1039/d0nr03863f",2020,"journal-article"
"310","10.7554/elife.49974",2020,"journal-article"
"311","10.1099/mic.0.000241",2016,"journal-article"
"312","10.1080/10705511.2018.1517355",2018,"journal-article"
"313","10.1026/1616-3443/a000306",2015,"journal-article"
"314","10.1117/12.2235992",2016,"proceedings-article"
"315","10.21203/rs.3.rs-546079/v1",2021,"posted-content"
"316","10.1039/c4dt03229b",2015,"journal-article"
"317","10.1063/5.0002847",2020,"journal-article"
"318","10.1063/1.4908052",2015,"journal-article"
"319","10.1002/ange.201611706",2017,"journal-article"
"320","10.1167/jov.20.4.17",2020,"journal-article"
"321","10.1063/1.4998805",2017,"journal-article"
"322","10.1080/21623945.2019.1675239",2019,"journal-article"
"323","10.1063/1.4961460",2017,"journal-article"
"324","10.3366/word.2019.0153",2019,"journal-article"
"325","10.4204/eptcs.180.4",2015,"journal-article"
"326","10.1145/3419804.3421450",2020,"proceedings-article"
"327","10.1155/2015/672305",2015,"journal-article"
"328","10.1089/chi.2020.0318",2021,"journal-article"
"329","10.1002/app.48380",2019,"journal-article"
"330","10.1021/jacs.7b09611",2017,"journal-article"
"331","10.1177/0271678x211010353",2021,"journal-article"
"332","10.1002/chem.201800207",2018,"journal-article"
"333","10.1039/c6cc08672a",2017,"journal-article"
"334","10.1063/1.4999352",2017,"journal-article"
"335","10.1075/li.00040.mac",2020,"journal-article"
"336","10.1027/1015-5759/a000451",2019,"journal-article"
"337","10.1145/3377880",2020,"journal-article"
"338","10.1002/mas.21716",2021,"journal-article"
"339","10.1002/chem.201801550",2018,"journal-article"
"340","10.1136/acupmed-2017-011382",2018,"journal-article"
"341","10.1002/pei3.10039",2021,"journal-article"
"342","10.1002/anie.201611706",2017,"journal-article"
"343","10.1002/jmor.20818",2018,"journal-article"
"344","10.1039/c5sc03053f",2016,"journal-article"
"345","10.1039/c6dt04711d",2017,"journal-article"
"346","10.1111/rssc.12499",2021,"journal-article"
"347","10.1145/3078752",2017,"journal-article"
"348","10.1021/acsaem.8b00666",2018,"journal-article"
"349","10.1021/acscatal.7b02646",2017,"journal-article"
"350","10.1128/jb.00521-18",2019,"journal-article"
"351","10.1002/jmor.21007",2019,"journal-article"
"352","10.1167/jov.20.2.11",2020,"journal-article"
"353","10.1080/09273948.2017.1375532",2017,"journal-article"
"354","10.1055/a-1173-9225",2020,"journal-article"
"355","10.1002/mbo3.775",2018,"journal-article"
"356","10.1063/1.5007924",2018,"journal-article"
"357","10.1002/zaac.202000221",2020,"journal-article"
"358","10.1515/bd-2017-0102",2017,"journal-article"
"359","10.1002/jms.3942",2017,"journal-article"
"360","10.1002/ange.201707759",2017,"journal-article"
"361","10.1145/2978249.2978255",2016,"proceedings-article"
"362","10.1021/nl504856w",2015,"journal-article"
"363","10.1093/neuros/nyab326",2021,"journal-article"
"364","10.1111/cmi.12491",2015,"journal-article"
"365","10.1126/sciadv.abf2218",2021,"journal-article"
"366","10.1080/10564934.2020.1723420",2020,"journal-article"
"367","10.1021/acs.jpcc.6b01895",2016,"journal-article"
"368","10.1021/acs.jpcc.6b10905",2017,"journal-article"
"369","10.1093/scan/nsaa164",2020,"journal-article"
"370","10.1055/s-0041-1726727",2021,"proceedings-article"
"371","10.1002/chem.202083161",2020,"journal-article"
"372","10.1055/s-0038-1641831",2018,"proceedings-article"
"373","10.1063/1.4977716",2017,"journal-article"
"374","10.1002/chem.201801662",2018,"journal-article"
"375","10.1002/cctc.201600257",2016,"journal-article"
"376","10.1111/phc3.12412",2017,"journal-article"
"377","10.1521/pedi_2017_31_331",2018,"journal-article"
"378","10.1039/c8cp03632b",2018,"journal-article"
"379","10.5465/ambpp.2015.15986abstract",2015,"journal-article"
"380","10.1111/sms.13503",2019,"journal-article"
"381","10.1055/a-1264-0348",2020,"journal-article"
"382","10.1002/pssr.202000408",2020,"journal-article"
"383","10.1039/c8cy00502h",2018,"journal-article"
"384","10.1177/2059204319848991",2019,"journal-article"
"385","10.1128/jb.00092-18",2018,"journal-article"
"386","10.1177/0271678x19861604",2019,"journal-article"
"387","10.1080/09638180.2020.1852095",2020,"journal-article"
"388","10.1063/1.5049082",2018,"journal-article"
"389","10.1111/psyp.12448",2015,"journal-article"
"390","10.1002/per.2266",2020,"journal-article"
"391","10.1002/per.2269",2020,"journal-article"
"392","10.1145/3137065.3137071",2017,"proceedings-article"
"393","10.1080/01973533.2019.1689362",2019,"journal-article"
"394","10.1080/00048402.2020.1745252",2020,"journal-article"
"395","10.1002/pssb.202000088",2020,"journal-article"
"396","10.1002/chem.202100298",2021,"journal-article"
"397","10.1063/1.5084791",2019,"journal-article"
"398","10.1080/10253890.2021.1908255",2021,"journal-article"
"399","10.1002/adfm.201800409",2018,"journal-article"
"400","10.1177/0284185120928929",2020,"journal-article"
"401","10.1002/ejic.201601152",2016,"journal-article"
"402","10.1002/chem.201800503",2018,"journal-article"
"403","10.1002/zaac.201800180",2018,"journal-article"
"404","10.1002/ejic.201600682",2016,"journal-article"
"405","10.7554/elife.66960",2021,"journal-article"
"406","10.1111/acem.14011",2020,"journal-article"
"407","10.1002/chem.201704858",2017,"journal-article"
"408","10.1002/cpnc.44",2017,"journal-article"
"409","10.1080/23273798.2016.1212081",2016,"journal-article"
"410","10.1002/pssa.201532551",2016,"journal-article"
"411","10.1111/mmi.14581",2020,"journal-article"
"412","10.1002/chem.201904493",2020,"journal-article"
"413","10.1063/5.0002247",2020,"journal-article"
"414","10.1002/zaac.201800323",2018,"journal-article"
"415","10.1002/chem.201700549",2017,"journal-article"
"416","10.1021/jacs.5b09519",2015,"journal-article"
"417","10.1002/anie.201707759",2017,"journal-article"
"418","10.1080/14650045.2021.1912021",2021,"journal-article"
"419","10.1021/acs.organomet.5b00439",2015,"journal-article"
"420","10.1021/om500952x",2015,"journal-article"
"421","10.1002/ejic.201670281",2016,"journal-article"
"422","10.1002/zaac.201600322",2016,"journal-article"
"423","10.1098/rstb.2019.0650",2020,"journal-article"
"424","10.1021/acs.macromol.5b02137",2015,"journal-article"
"425","10.1111/psyp.13361",2019,"journal-article"
"426","10.1080/1359432x.2020.1760247",2020,"journal-article"
"427","10.1111/nan.12617",2020,"journal-article"
"428","10.1111/psyp.12884",2017,"journal-article"
"429","10.1093/cercor/bhx359",2018,"journal-article"
"430","10.1021/acsami.7b01178",2017,"journal-article"
"431","10.1177/1071181320641028",2020,"journal-article"
"432","10.1002/mus.25142",2016,"journal-article"
"433","10.1055/a-1033-7304",2020,"journal-article"
"434","10.1080/09593985.2020.1818341",2020,"journal-article"
"435","10.1167/jov.20.11.709",2020,"journal-article"
"436","10.1039/c5ra08757k",2015,"journal-article"
"437","10.1152/japplphysiol.00493.2016",2016,"journal-article"
"438","10.1039/c5dt00710k",2015,"journal-article"
"439","10.1021/acs.jpcb.5b07008",2015,"journal-article"
"440","10.1063/1.4934501",2015,"journal-article"
"441","10.1021/acs.jpcb.7b09283",2018,"journal-article"
"442","10.3233/ch-190579",2019,"journal-article"
"443","10.1080/15592294.2020.1805695",2020,"journal-article"
"444","10.7554/elife.66960.sa2",2021,"peer-review"
"445","10.1039/d0ra03572f",2020,"journal-article"
"446","10.1021/acs.jpcb.7b05031",2017,"journal-article"
"447","10.1145/3170427.3174360",2018,"proceedings-article"
"448","10.1515/opli-2020-0020",2020,"journal-article"
"449","10.1002/chem.201605511",2017,"journal-article"
"450","10.1055/s-0040-1708294",2020,"proceedings-article"
"451","10.5220/0005786006550663",2016,"proceedings-article"
"452","10.7717/peerj.10875",2021,"journal-article"
"453","10.1093/geroni/igz038.2915",2019,"journal-article"
"454","10.1080/0966369x.2017.1334631",2017,"journal-article"
"455","10.1111/psyp.13067",2018,"journal-article"
"456","10.1039/c5dt00914f",2015,"journal-article"
"457","10.1080/10242694.2020.1791616",2020,"journal-article"
"458","10.1080/21681376.2019.1668291",2019,"journal-article"
"459","10.1080/02699931.2016.1194258",2016,"journal-article"
"460","10.1055/s-0039-1683668",2019,"proceedings-article"
"461","10.1111/ctr.14093",2020,"journal-article"
"462","10.1515/jpm-2020-0204",2020,"journal-article"
"463","10.1111/jopy.12517",2019,"journal-article"
"464","10.1515/phil-2018-0023",2020,"journal-article"
"465","10.1515/jpm-2020-0562",2021,"journal-article"
"466","10.1177/0284185119861314",2019,"journal-article"
"467","10.1145/3239332.3242767",2018,"proceedings-article"
"468","10.31205/ra.350.03",2018,"journal-article"
"469","10.21203/rs.3.rs-46884/v1",2020,"posted-content"
"470","10.1055/s-0037-1619364",2018,"journal-article"
"471","10.1021/acs.jpclett.7b02772",2017,"journal-article"
"472","10.1055/s-0039-1683529",2019,"proceedings-article"
"473","10.1080/02656736.2021.1909757",2021,"journal-article"
"474","10.1145/2996758.2996770",2016,"proceedings-article"
"475","10.3233/fi-2021-2017",2021,"journal-article"
"476","10.1002/9783527808465.emc2016.5921",2016,"reference-entry"
"477","10.1063/1.4953812",2016,"journal-article"
"478","10.1111/acps.12707",2017,"journal-article"
"479","10.1111/apha.13102",2018,"journal-article"
"480","10.1002/anie.201605311",2016,"journal-article"
"481","10.1093/geroni/igz038.1626",2019,"journal-article"
"482","10.1002/ejic.201800269",2018,"journal-article"
"483","10.1039/c8dt03279c",2018,"journal-article"
"484","10.1002/ente.202000880",2020,"journal-article"
"485","10.1002/jcsm.12416",2019,"journal-article"
"486","10.1002/1873-3468.12223",2016,"journal-article"
"487","10.1002/jmri.27833",2021,"journal-article"
"488","10.1002/cbic.201700271",2017,"journal-article"
"489","10.3233/fi-2021-2018",2021,"journal-article"
"490","10.1039/c9tc06509a",2020,"journal-article"
"491","10.1080/10556788.2017.1378653",2017,"journal-article"
"492","10.1055/s-0039-1683724",2019,"proceedings-article"
"493","10.1002/pros.23685",2018,"journal-article"
"494","10.1177/1120672121990611",2021,"journal-article"
"495","10.1021/acs.joc.5b02003",2015,"journal-article"
"496","10.1080/21681376.2017.1351886",2017,"journal-article"
"497","10.1021/acs.jpcc.8b09697",2018,"journal-article"
"498","10.1021/acs.chemmater.9b01802",2019,"journal-article"
"499","10.1104/pp.16.01009",2016,"journal-article"
"500","10.1152/jn.00684.2015",2016,"journal-article"
"501","10.1021/acs.bioconjchem.0c00284",2020,"journal-article"
"502","10.1021/acsami.7b10106",2017,"journal-article"
"503","10.1002/pssa.201800322",2018,"journal-article"
"504","10.1002/ange.201812284",2019,"journal-article"
"505","10.7554/elife.67171",2021,"journal-article"
"506","10.1146/annurev-biophys-060414-034014",2015,"journal-article"
"507","10.1111/jomf.12694",2020,"journal-article"
"508","10.1177/0165025416678094",2017,"journal-article"
"509","10.3233/ch-1990-10612",2016,"journal-article"
"510","10.1093/nar/gkaa236",2020,"journal-article"
"511","10.1093/geroni/igy023.3234",2018,"journal-article"
"512","10.1111/nan.12454",2018,"journal-article"
"513","10.14778/3007328.3007332",2016,"journal-article"
"514","10.1093/jxb/erab110",2021,"journal-article"
"515","10.1021/acsami.5b10858",2016,"journal-article"
"516","10.1002/cphc.201700267",2017,"journal-article"
"517","10.1002/ejic.202000895",2020,"journal-article"
"518","10.1002/cphc.201601442",2017,"journal-article"
"519","10.1002/anie.201812284",2019,"journal-article"
"520","10.1039/d0cc06983c",2021,"journal-article"
"521","10.1063/1.5016629",2018,"journal-article"
"522","10.1111/jeb.12686",2015,"journal-article"
